Timestamp,AccX,AccY,AccZ,AsX,AsY,AsZ,AngX,AngY,AngZ
2024-06-18 04:38:40.24,-0.1410205813892418,0.1763413299805324,0.9897689728226586,-0.2296255375800831,-2.0779561218204865,-0.9826036123794316,9.881619340305004,7.766459521086431,0.0847068766129161
2024-06-18 04:38:40.35,-0.1389415892314285,0.1747243690456962,0.985085300633771,-0.0693908432293056,-1.991508465288959,-0.8515567534240287,9.903527629663762,7.605245737604058,0.0263164531130841
2024-06-18 04:38:40.46,-0.1368625970736152,0.1731074081108601,0.9804016284448834,0.0908438511214719,-1.9050608087574312,-0.7205098944686256,9.925435919022522,7.444031954121684,-0.0320739703867478
2024-06-18 04:38:40.57,-0.1340394313441061,0.1707770614177209,0.974784848120233,0.2197967269069382,-1.7541538966212988,-0.7088993262033908,9.942233092374074,7.304832750874976,-0.0894755391085108
2024-06-18 04:38:40.67,-0.1310010049797,0.1681745683896107,0.9722900622740148,0.1450724312175659,-1.6099145527269287,-0.8444077701645857,9.93133076833442,7.179435598831799,-0.1589087830534618
2024-06-18 04:38:40.79,-0.1278486596353201,0.1664620191998035,0.9730854642513408,-0.2201408870382506,-1.536081806415142,-0.98138897234853,9.868481839984335,7.047862684778367,-0.250682587084846
2024-06-18 04:38:41.00,-0.1226999233731238,0.1647154903429953,0.973907256392168,-3.868288276314064,-2.7441582861892875,-1.0617870639515294,9.272810244999224,6.637431619928277,-0.4351167781003209
2024-06-18 04:38:41.11,-0.1193969163375731,0.1627431604669378,0.9763379748353664,-8.347609628503218,-2.9380748847815434,-1.2890218677528709,8.39475774717715,6.38265777267268,-0.5520217397263455
2024-06-18 04:38:41.21,-0.115145967082077,0.1558857589084269,0.9851120210194984,-9.427125238970646,-1.532899732380072,-1.2172830891407038,7.48042488895387,6.264050048981541,-0.6792415702775091
2024-06-18 04:38:41.32,-0.110116897630966,0.1418293275872669,0.9929319539705632,-6.737064367419658,-0.5879074100021138,-0.8016781888774991,6.848078934740076,6.2054343901779845,-0.7723470872829178
2024-06-18 04:38:41.43,-0.1061448445937397,0.1252615769228459,0.9885834123094704,-4.533531511588993,-0.3345172735641395,-0.5185507719228842,6.422889440044073,6.160210399126502,-0.8250652767548875
2024-06-18 04:38:41.55,-0.1043013672396329,0.1114495833029,0.9832630954170452,-3.1408823870761675,-0.0417720793038264,-0.4373594752061256,6.109450163292336,6.141051816195743,-0.8618651091675281
2024-06-18 04:38:41.76,-0.1030718677405827,0.0954084502514186,0.9871957478024797,-1.3012979432153633,0.3691772760812712,-0.3284973009276426,5.711622745664706,6.158360898850286,-0.9146349280938398
2024-06-18 04:38:41.87,-0.1031816070992444,0.0883513815004965,0.9881444951843102,-0.6055770030971865,0.6893284534496057,-0.2722887647499611,5.586577394289143,6.2096724587126095,-0.93356786216345
2024-06-18 04:38:41.98,-0.1039515158852207,0.0834798312862836,0.988875500895958,-0.0959110606896846,1.0167635597947275,-0.2318583313446946,5.501241526908647,6.293556628959745,-0.9475235417493016
2024-06-18 04:38:42.08,-0.1049162180099247,0.0813710712307023,0.9890435394394782,0.2847432362959717,1.3281923265942728,-0.2119939898723321,5.45076801615793,6.408561398996997,-0.9576471324178952
2024-06-18 04:38:42.19,-0.1069707390104069,0.0803772857023881,0.9890336102618604,0.65137926692594,1.5871651435776075,-0.1816789425409661,5.437838743862079,6.550251089178074,-0.966273422415172
2024-06-18 04:38:42.31,-0.1099122244639171,0.0805563326354992,0.9895528557636332,0.8561842817280528,1.7733360995012852,-0.0777649050660629,5.449048105693903,6.718151435441389,-0.966806386011428
2024-06-18 04:38:42.52,-0.1159611839996882,0.0837492692799304,0.9901858369812254,0.1270996907634567,1.887022771804252,0.1712552032810515,5.414274730652131,7.044650809013074,-0.9265866376404644
2024-06-18 04:38:42.63,-0.1200332347510266,0.086736596350653,0.9910239402352712,-1.1835326179336456,1.8924380568688612,0.1385410479315539,5.251223867246462,7.220934228308439,-0.8961797253448747
2024-06-18 04:38:42.74,-0.1238091206284664,0.0877993060960116,0.9921203368410996,-3.027307950842042,0.631677308823525,0.1706731279454738,4.917291660559775,7.25593528193131,-0.8668748337549891
2024-06-18 04:38:42.84,-0.1265058615783659,0.0852955158783537,0.9947797148835504,-5.294449300649631,-1.2860791109664005,0.2345015870642871,4.37096741025452,7.116667041617642,-0.8306563437716004
2024-06-18 04:38:42.95,-0.1271884798842966,0.0793535670580407,1.002086630531814,-5.481243397143298,-1.121886329534106,0.3745668615372945,3.834779532731333,7.012575450055583,-0.7847295511549222
