Timestamp,ideal_time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngX,AngY,AngZ
2024-06-18 04:31:33,04:31:33.00,0.4521849795124252,-0.1288938385534025,0.8764840039139322,-16.289386486977502,-19.727796896509027,3.7237571572909354,-11.32576,-28.60712,0.9046807015663084
2024-06-18 04:31:33,04:31:33.50,0.5721839663867501,-0.2584677350937733,0.7519227450143541,-6.246812159820535,5.532954659799438,-0.320788404808536,-18.42524,-32.705479999999994,2.1173134438162418
2024-06-18 04:31:34,04:31:34.00,0.49396013785447623,-0.2764447680506712,0.8077646314403601,9.339080853799643,28.798061358481814,-3.966470215684605,-14.988319999999998,-24.45524,0.7908070533563989
2024-06-18 04:31:34,04:31:34.50,0.25630664369265227,-0.1787005151684676,0.9387216642947859,15.460516013610668,30.30010682716147,-4.5081974750238905,-7.57016,-11.06608,-1.2766449314871045
2024-06-18 04:31:35,04:31:35.00,0.002992011314481652,-0.04255932412830804,0.9942159460816232,14.481416492462621,20.955609759937246,-5.559311795138085,-0.27568,1.10592,-3.75117975520546
2024-06-18 04:31:35,04:31:35.50,-0.17174177414924774,0.0719653674695076,0.9822712681817802,8.49060781310857,7.300381190951141,-5.214904403786291,4.79964,8.345040000000001,-6.436076698291032
2024-06-18 04:31:36,04:31:36.00,-0.22617622664698175,0.12661919764888363,0.9682419867774867,1.1746912845154,-4.1120914060319915,-4.765966374188792,6.62156,9.98244,-8.84414560077868
2024-06-18 04:31:37,04:31:36.50,-0.18695190870628134,0.11848584745160379,0.9772981035746033,-4.867716231560592,-10.220871101523835,-4.552399902337913,5.35704,7.56076,-11.122644389164137
2024-06-18 04:31:37,04:31:37.00,-0.10008830414923217,0.06478979006977414,0.9946028598005155,-7.535363018784341,-10.334216684521166,-4.710977235306652,2.22364,3.4501600000000003,-13.313102646341907
2024-06-18 04:31:38,04:31:37.50,-0.01714312308677874,-0.000890008497487924,1.0088312674801103,-2.3576754167161322,-4.545429805332819,-4.8673050445240875,-0.17875999999999997,0.41944000000000004,-15.739433446660712
2024-06-18 04:31:38,04:31:38.00,0.01902163757449737,-0.01747495945750061,1.0081143638225862,-5.216813260402213,-5.354078239738174,-1.2559851344340085,-1.69736,-1.76592,-17.20781640758857
2024-06-18 04:31:39,04:31:38.50,0.06923546248583315,-0.06876674556654377,0.993646129037177,-5.742431236901578,-5.639818631951273,-0.6014050476012773,-4.58296,-4.62944,-17.53144683394665
2024-06-18 04:31:39,04:31:39.00,0.10629680175426132,-0.1061386382890581,0.9772587620280517,3.844112728607058,3.582761656413934,-1.4346324484070567,-4.993,-5.109,-17.941955432117666
2024-06-18 04:31:40,04:31:39.50,0.06541068151710308,-0.0632270420120106,0.9913568764565998,6.2349270886444605,5.459455264571194,-1.5421831161738404,-2.2684800000000003,-2.73,-18.682064257374844
2024-06-18 04:31:40,04:31:40.00,0.04285443073630146,-0.037494183580007584,1.004376929306902,-4.244087405300982,-5.380619007395104,-0.11033178869031568,-3.08424,-3.89072,-19.048720277749513
2024-06-18 04:31:41,04:31:40.50,0.06947157159203468,-0.05877567608186621,0.9886785692794854,1.960223775584387,3.801521728673229,-0.8546464837819693,-2.95036,-3.5021199999999997,-19.114364447965603
2024-06-18 04:31:42,04:31:41.00,0.041902368791813915,-0.072390119164643,1.0093903552394778,-8.69616441131586,-5.392474117241997,-2.37969994898843,-5.94208,-3.9284,-20.037422712832303
2024-06-18 04:31:42,04:31:41.50,0.11920554111821746,-0.17366656960928675,0.9690412008234788,-4.668327621853249,-4.353942034528153,-0.8046207533808285,-10.507639999999999,-7.62532,-20.707754781882354
2024-06-18 04:31:43,04:31:42.00,0.1340371828457711,-0.18450768456749522,0.9624335220005291,10.024164940147761,7.379461187278948,-0.13739195742746377,-8.38016,-6.130839999999999,-20.832244202896746
2024-06-18 04:31:43,04:31:42.50,0.05726040108237818,-0.08933821168820051,0.9893935158358687,12.257195218285682,9.60503175104184,-0.5520339190981529,-3.1099599999999996,-2.07448,-20.930927690124285
2024-06-18 04:31:44,04:31:43.00,-0.030879322640955012,0.013635469530346065,0.9976761723063043,8.304520059051073,7.038761610666215,-0.939984358293502,1.6555199999999999,2.0650399999999998,-21.269766973876944
2024-06-18 04:31:44,04:31:43.50,-0.075204039855507,0.06262895262137466,0.9999544523744036,-6.080649844641269,-6.7006806213128245,-1.6109512998209599,1.8384399999999999,2.114,-21.810418722263247
2024-06-18 04:31:45,04:31:44.00,-0.018998308338034134,0.007406459325377151,1.000032469733683,-4.032140845003987,-2.885126786392488,-1.7719059975592877,-0.7220799999999999,-0.13704,-22.686280147521963
2024-06-18 04:31:45,04:31:44.50,-0.001785806250173728,-0.009860228646714047,1.0035460738930049,2.07125778522935,-0.5302338630721182,-2.1976708783672483,0.15388,-0.03664,-23.63731350104815
2024-06-18 04:31:46,04:31:45.00,1.5367561291886386e-05,0.00220083016284676,1.0005518968902376,0.7215028187095232,0.269601626345445,-0.016173067608350702,0.08028,-0.16064,-24.06174176921922
2024-06-18 04:31:46,04:31:45.50,-0.0016795669071661295,0.0029216901908005683,1.001083609970219,-0.5891362264205342,-0.8048131390861358,-0.3709966352686698,0.09519999999999999,-0.19072,-24.12216375149306
2024-06-18 04:31:47,04:31:46.00,-2.331668946444133e-05,3.458625788908996e-05,1.0000038634662676,0.3174323123015101,-0.09389046506591166,-0.052702907596987716,0.04928,-0.24416000000000002,-24.13423816638965
2024-06-18 04:31:47,04:31:46.50,-0.001800538768593076,0.002702465578202516,1.000022528177084,0.3164112588054175,-0.030193059661598718,0.00719125462617563,0.22928,-0.1284,-24.078499295246715
2024-06-18 04:31:48,04:31:47.00,-0.00359905737635766,0.005482736937310661,0.9999999960604845,0.011300244459814169,-0.1679723718887716,0.015732274356449832,0.30364,-0.0724,-24.011388281396343
2024-06-18 04:31:48,04:31:47.50,-0.002623876941609632,0.004127803778318244,1.0000000000006495,0.003879959310314372,0.006771096070146059,0.01299505987614398,0.29916,0.0144,-23.942034530613014
2024-06-18 04:31:49,04:31:48.00,-0.00018989013889955618,0.00038037428430066174,1.0000000000000007,0.4377849980471661,0.28856049997515604,0.0004576563651780202,0.32104,0.09936,-23.87838722030297
2024-06-18 04:31:49,04:31:48.50,-0.0002871444741621003,0.0008173189261302775,1.0000000000000009,0.6544082014921249,0.42298504178109153,-0.0028329104949300233,0.48188000000000003,0.2416,-23.819892915360644
2024-06-18 04:31:50,04:31:49.00,-0.001002675843202748,0.0020023217300016443,1.0000000000000009,0.30234909886217753,0.19233272869738957,0.01768627916085324,0.53564,0.30176,-23.753204421793228
2024-06-18 04:31:50,04:31:49.50,-0.001622279583068128,0.002950802786594896,1.0000000000000009,-0.018762151274573067,-0.01836106172169639,-0.007282438030779972,0.4106,0.2322,-23.688325914200128
2024-06-18 04:31:51,04:31:50.00,-0.0033259222998570843,0.005808536661236116,1.0000000000000009,-0.2518461007295606,-0.17375829535643866,-0.049251406901605226,0.28236,0.14452,-23.652771199277172
2024-06-18 04:31:51,04:31:50.50,-0.004811138458187268,0.006809840756644048,1.0000000000000009,-0.38488702945892583,-0.24680006565111703,0.07181227624347572,0.18276,0.09208,-23.57131699479307
2024-06-18 04:31:52,04:31:51.00,-0.004131094894828115,0.006671496461807848,1.0000000000000009,-0.5809819066471124,-0.38190316673789737,0.009304296018994773,0.061079999999999995,0.02088,-23.495833733636058
2024-06-18 04:31:53,04:31:51.50,-0.002354519583633556,0.004494135248130577,1.0000000000000009,-0.10573857530972292,-0.06990999994689086,0.014222062582880673,0.031560000000000005,-0.00040000000000000034,-23.42774706189207
2024-06-18 04:31:53,04:31:52.00,-0.00014522351108465714,0.0009251834465077074,1.0000000000000009,0.2001835527435066,0.12476475628451934,-0.031691709833305035,0.11436,0.05392,-23.376594256070398
2024-06-18 04:31:54,04:31:52.50,1.8777965716298133e-08,0.000169568779909243,1.0000000000000009,0.9364276873868562,0.5559871545522451,-0.007802335491516481,0.34387999999999996,0.1892,-23.31914237287066
2024-06-18 04:31:54,04:31:53.00,-0.0026790877676715658,0.004819148799052471,1.0002848120464862,0.7711485878479789,0.4946973569225762,0.007601790802120844,0.6705599999999999,0.4034,-23.264164403168984
2024-06-18 04:31:55,04:31:53.50,-0.004480659104294512,0.007240296450839844,0.9999951877098043,0.43011240557337205,0.2519059127596374,-0.012017142988216219,0.76896,0.46832,-23.20242525109042
2024-06-18 04:31:55,04:31:54.00,-0.00424019040527566,0.007000190458307172,1.0001218705195236,0.2020287494101279,0.07786261328354403,-0.03794153554344437,0.78188,0.47659999999999997,-23.13996201881434
2024-06-18 04:31:56,04:31:54.50,-0.0018503389405250881,0.003509022828953592,1.000118145886589,0.14887612587328422,0.06892592121603318,-0.20256843232040692,0.58128,0.33104,-23.183357259924527
2024-06-18 04:31:56,04:31:55.00,-0.000841620776029863,0.002373065341345116,0.9999999838354446,0.7573226217035592,0.4876990475315349,0.00693997468644148,0.68512,0.40148000000000006,-23.138528528790143
2024-06-18 04:31:57,04:31:55.50,-0.0032999788465169436,0.005548151609832096,1.0000000000021556,0.5439682270803062,0.3371119379032949,-0.0072324358682153925,0.7953600000000001,0.47868,-23.079919359191003
2024-06-18 04:31:57,04:31:56.00,-0.004007485085555672,0.0059999201424542,1.0000000000000004,0.3925508257983782,0.22024664728930318,0.0040052630761969,0.81132,0.48932000000000003,-23.016384010670365
2024-06-18 04:31:58,04:31:56.50,-0.004085136676585668,0.005763786764495984,1.0000775238091437,0.19908760408820872,0.16181463701823515,-0.1746422955116057,0.75336,0.46404,-22.948168546206436
2024-06-18 04:31:58,04:31:57.00,-0.004108950962507684,0.006910504003376387,1.0001226349907224,-0.12008825812837103,-0.10124174011683745,-5.533671358759284,0.56748,0.3926,-24.36671370057443
2024-06-18 04:31:59,04:31:57.50,-0.004700357610403648,0.006796392255746703,0.9999979959044185,-0.3877487830903636,-0.318988824208274,-1.5909792226257418,0.40332,0.2416,-26.20092612443362
2024-06-18 04:31:59,04:31:58.00,-0.0017421811053003617,0.004073968308386152,0.9999619269535341,0.5201095717820042,0.3322250857848691,-1.2336027729860242,0.47796,0.28428000000000003,-26.73240483446588
2024-06-18 04:32:00,04:31:58.50,-0.005047047729827052,0.006173410216553699,0.9999999183032018,-0.002409426527236656,-0.018211675441703722,-1.2573046996577943,0.44372,0.28008,-27.30693989271567
2024-06-18 04:32:00,04:31:59.00,-0.005364050850792413,0.005491292669898352,1.000329510759526,-0.7475117859905197,-0.6875225976836029,0.38492856363724826,0.30976,0.21227999999999997,-27.549141756614862
2024-06-18 04:32:01,04:31:59.50,0.005076089898919556,0.0029183178448347956,0.9991350708520386,-0.00716234840775368,-0.615577253528403,5.157982038013034,0.061399999999999996,-0.41468000000000005,-25.997269934899588
2024-06-18 04:32:01,04:32:00.00,0.004479715979353632,-0.002418529532798388,1.0004279897473065,1.0503468091369503,1.3796842170021322,3.803138520340101,0.27327999999999997,0.07692,-23.50611307422292
2024-06-18 04:32:02,04:32:00.50,-0.0026841691615564125,0.004425411933581796,1.0002670351691891,-0.2692575120552086,-0.23239378589954454,0.9160034969266516,0.2622,0.11648,-22.347073900953934
2024-06-18 04:32:02,04:32:01.00,-0.002108063326280784,0.00475322669399722,1.0000003935507509,0.3671904525154537,0.2796762535738435,0.038100721725429165,0.39183999999999997,0.21884,-22.16538054508512
2024-06-18 04:32:03,04:32:01.50,-0.004515489295099916,0.0075617076892347005,0.999999999960171,0.0031986911555455127,0.0003432711572192026,0.00900563854899776,0.43876,0.24996,-22.086295167994518
2024-06-18 04:32:03,04:32:02.00,-0.004000358418055928,0.0070003512362961685,1.0000000000000038,-4.5540693351280144e-07,-1.0451415217277284e-07,0.009861447061140408,0.44996,0.25416,-22.022389312383712
2024-06-18 04:32:04,04:32:02.50,-0.003999999965018664,0.006999999966099843,1.0000000000000009,6.327567076394942e-11,2.2229776312765582e-11,0.004792554279834688,0.44508000000000003,0.25204,-21.958600612853747
2024-06-18 04:32:04,04:32:03.00,-0.00378671251871964,0.006786712518719476,1.0000000000000009,-8.575339740856807e-15,-4.10687025346199e-15,-1.4267600066352779e-05,0.43616,0.24780000000000002,-21.89553746010865
2024-06-18 04:32:05,04:32:03.50,-0.0008135248881974755,0.00307388711632692,1.0000000000000009,0.1606322550877332,0.09500538821162635,-1.2988764785921183e-08,0.40524,0.21944,-21.834556625043025
2024-06-18 04:32:05,04:32:04.00,-0.0007458455794367308,0.002761060088714864,1.0000000000000009,0.7408554683156698,0.4745319891634555,-0.009588139072064638,0.54684,0.30036,-21.775342670519358
2024-06-18 04:32:06,04:32:04.50,-0.003912664295674384,0.006917088189572116,1.0000000000000009,0.4062377740106355,0.25394431113015653,0.00345299456101122,0.69892,0.40804,-21.71738189592291
2024-06-18 04:32:06,04:32:05.00,-0.004021256426970048,0.0070212557955767795,1.0000000000000009,0.3504312133127713,0.198898010396445,0.013492380389376089,0.72804,0.42416,-21.650081372077064
2024-06-18 04:32:07,04:32:05.50,-0.003999996290394108,0.00699999629048206,1.0000000000000009,0.19635886134404953,0.11473449043015263,0.007271539696544543,0.7342,0.42956000000000005,-21.584615917811085
2024-06-18 04:32:07,04:32:06.00,-0.004000000000610036,0.007000000000610029,1.0000000000000009,-0.000115598133253719,-7.420563348245307e-05,0.0009808954272339974,0.62804,0.36612,-21.522213332018918
2024-06-18 04:32:08,04:32:06.50,-0.003973342605254828,0.006973342605254836,1.0000000000000009,2.6067347372254522e-08,1.6304707008934512e-08,0.01189730655813957,0.54836,0.31768,-21.45708351155863
2024-06-18 04:32:08,04:32:07.00,-0.001690142267750372,0.004444736186655404,1.0000000000000009,0.0011947929533528607,0.0005973964760923867,0.011590332844437697,0.46712000000000004,0.26068,-21.390238802602397
2024-06-18 04:32:09,04:32:07.50,-0.0003043227050865835,0.002326545510002848,1.0000000000000009,0.3251492096357703,0.1823204369531191,-3.454102981696843e-05,0.43195999999999996,0.22408,-21.326383962405785
2024-06-18 04:32:09,04:32:08.00,-0.002059663989357744,0.0047556795857777966,1.0000000000000009,0.18887365266180467,0.11621905217218327,0.009848982388964643,0.48424,0.25608000000000003,-21.26288505970669
2024-06-18 04:32:10,04:32:08.50,-0.002192858350851696,0.00500001604038784,1.0000000000000009,0.0020626797779181873,0.0009832729561961425,0.0176950162913873,0.43920000000000003,0.22776,-21.195953506530586
2024-06-18 04:32:10,04:32:09.00,-0.002582359685017372,0.005582369675885832,1.0000000000000009,-0.03258654926243126,-0.026705787917793544,-0.0056080372349697006,0.38768,0.19576000000000002,-21.129763529565626
2024-06-18 04:32:11,04:32:09.50,-0.004276935759509288,0.00727693575886334,1.0000000000000009,-0.27683673244021,-0.21281609152484526,0.00894079170766868,0.30476,0.135,-21.071746850926093
2024-06-18 04:32:11,04:32:10.00,-0.004000374685864488,0.007000374685864468,1.0000000000000009,-0.25435383121990346,-0.21847820138726562,0.005694572923615629,0.23623999999999998,0.08424,-21.00486946754815
2024-06-18 04:32:12,04:32:10.50,-0.003999999951300984,0.006999999951300984,1.0000000000000009,-0.02182640061268416,-0.017802695824267818,0.00987490345989554,0.26216,0.10796,-20.93995769088913
2024-06-18 04:32:12,04:32:11.00,-0.0030491968514181162,0.005997021279894712,1.0000000000000009,3.1789529619296728e-06,2.6184689027483333e-06,0.009640114327398508,0.31212,0.1494,-20.873195999188884
2024-06-18 04:32:13,04:32:11.50,-0.0001914633388184866,0.0012951721992001536,1.0000000000000009,0.10636783349763831,0.051672430661267796,0.003969384596654471,0.27948,0.12444000000000001,-20.81077052573169
2024-06-18 04:32:13,04:32:12.00,-0.000497747345857642,0.0022051417564062682,1.0000000000000009,0.675669283283264,0.44979371023274,0.000869850947467864,0.42144,0.21468,-20.747035198715484
