LinearAccel_X_err,LinearAccel_Y_err,LinearAccel_Z_err,AngularAccel_X_err,AngularAccel_Y_err,AngularAccel_Z_err
0.04328108,0.060554266,0.09838295,1.2042313,0.68778706,0.26447624
0.04697132,0.03796506,0.065013885,0.9261894,0.09691429,0.20268941
0.071896195,0.032681704,0.008946419,0.006105423,0.3747573,0.12528253
0.029768586,0.017112017,0.03067112,0.06622982,0.25601292,0.036125183
0.0012050867,0.026114464,0.008900642,0.050247192,0.12425065,0.06836218
0.010538816,0.002360344,0.014663696,0.5107174,0.080540895,0.09731802
0.010063887,0.0032465458,0.0047359467,0.020982265,0.061182022,0.058012187
0.028179288,0.002270341,0.008081436,0.1360786,0.14534831,0.04484822
0.021405697,0.014991522,0.026173592,0.11151886,0.15879583,0.09333402
0.00870049,0.025743127,0.024353981,0.15187645,0.09900081,0.10560417
0.00957334,0.014751017,0.021205902,0.38106632,0.09688187,0.11451602
0.021341681,0.0117691755,0.017915726,0.1929779,0.009866767,0.033770084
0.031246066,0.01646614,0.029482841,0.061006546,0.2500906,0.19318622
0.027162075,0.02142477,0.08067608,0.09825325,0.2798462,0.055130363
0.00033962727,0.0442912,0.13023758,0.2942798,0.68804276,0.025015831
0.0023093224,0.04159504,0.12355423,0.2905655,0.37351072,0.04602194
0.0271312,0.07650715,0.058626175,0.07968712,0.05658698,0.053046703
0.021064758,0.037956834,0.019003868,0.87404436,0.070763975,0.03835702
0.009190917,0.06633192,0.0050592422,0.008525848,0.15134096,0.2031486
0.00045251846,0.054607123,0.016661644,0.052014202,0.058176994,0.23062015
0.008522272,0.030701607,0.04208851,0.2726164,0.075912,0.18340546
4.6372414e-05,0.017986834,0.040643692,0.49045563,0.31773663,0.17060971
0.0047062635,0.04872492,0.062129974,0.19147491,0.49308968,0.094576955
0.011441708,0.14909387,0.099015236,1.327812,0.9965334,0.36266685
0.034986258,0.082367614,0.13433361,0.081134796,1.1156061,0.1885066
0.030560851,0.055300876,0.07994938,0.114154816,0.5238619,0.32513428
0.025482059,0.08203173,0.03882885,0.041704178,0.2626872,0.2800219
0.018806696,0.10908303,0.030593872,0.30728245,0.024651527,0.045897484
0.02670449,0.1285946,0.060269356,0.0021572113,0.19523907,0.11541748
0.07392049,0.08451584,0.120244026,0.84026384,0.3629315,0.2731049
0.040810645,0.10242438,0.1385603,0.043990374,0.28234982,0.10730457
0.036340177,0.12789926,0.16579914,0.3903048,0.14087254,0.5672045
0.03735268,0.10369432,0.07612705,0.2758417,0.121902466,0.4112966
0.024949014,0.055840045,0.085391045,0.569973,0.12627316,0.29367542
0.021032035,0.0020628385,0.057351112,0.13567162,0.0027079582,0.28054714
0.032524884,0.02007933,0.013458252,0.12485528,0.037312508,0.087041855
0.039999902,0.05119659,0.015615463,0.3225689,0.38153553,0.22853899
0.027721465,0.06184876,0.021039963,0.37602997,0.2537241,0.14200985
0.0008788705,0.067267984,0.027178764,0.22454262,0.2990349,0.2826247
0.028804004,0.06815031,0.076016426,0.70842624,0.26208878,0.11393098
0.05200547,0.05957952,0.05933571,0.13558769,0.04652214,0.45420837
0.01618743,0.06990546,0.042822838,0.3573513,0.1829462,0.22657633
0.043711007,0.07901585,0.02261734,0.2864933,0.1591475,0.3918295
0.025329113,0.07948452,0.116950035,0.07106733,0.20698929,0.08550167
0.011409521,0.079787016,0.15912056,0.022731543,0.03107977,0.06991887
0.005167663,0.061920404,0.0054035187,0.018160254,0.10176277,0.06796098
0.014908195,0.025170803,0.12013531,0.41145396,0.51553535,0.45550156
0.07309461,0.03908944,0.047777176,0.79362786,1.4094639,0.44893742
0.00014597178,0.0007185936,0.03611374,0.5773598,0.72408295,0.36933327
0.099996924,0.03202367,0.12633896,0.20708704,0.5390477,0.16352582
0.06447089,0.06167376,0.049707413,0.16859436,0.21716309,0.630075
0.09133375,0.07264757,0.20523262,0.31510162,0.18460846,0.3373332
0.12301743,0.025420427,0.041181564,0.14132309,0.94986725,0.37969518
0.061629295,0.07283676,0.066269875,0.67367554,1.263556,0.540535
0.063156724,0.05475366,0.1340208,0.11939192,0.063651085,0.5685901
0.09776747,0.023107171,0.16956234,0.38605618,0.026057243,0.018172741
0.10066497,0.0011303425,0.036883354,0.4030366,0.0031614304,0.16172981
0.07109034,0.019467354,0.06255436,0.008759499,0.13804239,0.12398696
0.07671845,0.08768022,0.10328674,0.026918411,0.37013054,0.08544254
0.056424737,0.0005196929,0.08419514,1.0556526,0.6929383,0.30144683
0.03186381,0.0073375404,0.044137,0.054512978,0.37082458,0.3443154
0.052406788,0.037732393,0.022669792,0.4405403,0.23195773,0.097389996
0.051029384,0.05295083,0.015065193,0.29701138,0.053559124,0.33836758
0.050578594,0.043923467,0.015049934,0.13271904,0.16360453,0.1408112
0.061965346,0.04722622,0.06875706,1.1062088,0.5422001,0.00081157684
0.0013806224,0.0056120753,0.053892136,0.73990107,0.43002033,0.13894618
0.026615977,0.006619483,0.06530571,0.21832776,0.27059388,0.061495602
0.015169501,0.028542846,0.047329903,0.32236242,0.1069628,0.1501193
8.3088875e-05,0.044306844,0.025057793,0.14212799,0.121139765,0.20332557
0.0022451878,0.040838897,0.00019264221,0.2850294,0.22985077,0.21788988
0.0015819073,0.059005275,0.029725075,0.78785324,0.06740141,0.1312033
0.02251482,0.089978606,0.045573235,0.6384802,0.4677174,0.008689702
0.017182112,0.0664216,0.08243942,0.18736863,0.081740856,0.16009021
0.016573668,0.058101475,0.09984493,0.037106514,0.24952555,0.23750019
0.009154797,0.059711814,0.10432148,0.038829803,0.32515,0.043655396
0.0015305281,0.07799834,0.086974144,0.008163452,0.32458305,0.057810545
0.012330651,0.13663626,0.021205902,0.0061569214,0.14317226,0.108858585
0.08890784,0.10520822,0.025889397,0.44984055,0.5871434,0.120144606
0.070664525,0.13911766,0.07887936,0.028129578,0.2665305,0.3104409
0.07984197,0.124372065,0.050024033,0.59767723,0.4259796,0.026979148
0.06853747,0.107497245,0.0025129318,0.6715965,0.09880352,0.2555374
0.052901506,0.08098945,0.030700684,0.10059655,0.15766764,0.17592907
0.047859073,0.019725025,0.04216671,0.36264032,0.30889845,0.016087532
0.046462655,0.011749744,0.010972977,0.046820164,0.11602259,0.12494126
0.026854396,0.048378646,0.017956734,0.034835815,0.038348198,0.12465334
0.0010738373,0.07456732,0.025909424,0.15249825,0.054998398,0.24215269
0.0013114214,0.07903141,0.015583038,0.24779892,0.27769852,0.09171739
0.0052871704,0.08744764,0.06339836,0.08505821,0.26327014,0.014395714
0.030006766,0.052866757,0.11978531,0.2469101,0.2822938,0.13399053
0.0154954195,0.08990085,0.032505035,0.6925812,0.13820124,0.37746704
0.04449427,0.06078899,0.056551933,0.2886331,0.35724878,0.19368029
0.023633122,0.028602302,0.13403034,0.48528814,0.103149414,0.37312508
0.006842017,0.013707042,0.13384247,0.039913535,0.025330544,0.105038404
0.018676877,0.0006958842,0.078710556,0.10654259,0.06099415,0.04818058
0.03560984,0.016797364,0.008460045,0.02665615,0.23560071,0.113357544
0.03755331,0.020820677,0.012961388,0.079248905,0.04547167,0.19544864
0.041759968,0.029191196,0.03369999,0.11727762,0.0554595,0.029998481
0.021397233,0.02453959,0.045728683,0.032635212,0.18241322,0.027430177
0.0027250051,0.026697516,0.00861454,0.010489464,0.13328505,0.143067
0.010818481,0.029982388,0.034103394,0.09766579,0.13172662,0.25337386
0.0063552856,0.001167357,0.05148506,0.22306633,0.50925064,0.003291607
0.051626086,0.0015329123,0.06130123,0.7106552,0.27763224,0.27946383
0.009664774,0.045042396,0.09088516,0.022830486,0.11917627,0.18224087
0.00031292439,0.04687476,0.10270405,0.11731815,0.0495975,0.11753929
0.0016623735,0.044867635,0.08825493,0.0030961037,0.010200024,0.034799814
0.0018720627,0.048457503,0.04990387,0.072851956,0.0017391443,0.04103303
0.004503846,0.003994584,0.0062246323,0.015450478,0.18173456,0.13041401
0.0058151484,0.01650238,0.00644207,0.08836293,0.08059168,0.04624927
0.00230968,0.01177907,0.02033043,0.15657413,0.03813362,0.030327082
0.0021686554,0.0030612946,0.031105995,0.10080576,0.19501293,0.25282717
0.00435555,0.008947372,0.023020744,0.054121494,0.25993466,0.1303035
0.003057599,0.0098257065,0.010352135,0.07771015,0.19345427,0.030963898
0.0038462877,0.0406394,0.1121006,0.030115128,0.022219658,0.09315634
0.014002442,0.009004116,0.12438202,0.9036803,0.4260447,0.29558873
0.009288549,0.028354406,0.09820175,0.004404068,0.13137054,0.06996086
